ServiceType,TypedStrings,AcceptString
bus,"['ب', 'بی']",بیرجند
bus,"['ا', 'ای', 'ایز', 'ای', 'ا']",اصفهان
bus,"['', 'آباده']",آباده
train,"['', 'م', 'مل', 'ملا']",ملایر
train,"['', 'ا', 'ار', 'ارا']",اراک
train,"['', 'ک', 'کا']",کاشان
hotel,['یزد'],یزد
flight,['کیش'],کیش
flight,"['گ', 'گر', 'گرگ', 'گرگا', 'گرگان']",گرگان
bus,['یزد'],یزد
train,[''],مشهد
ship,[''],بندرعباس
train,[''],کاشان
train,[''],گرگان
train,[''],گرگان
train,[''],یزد
train,[''],تهران
train,"['', '', '', 'ز', 'زر', 'زرن', 'زرند']",زرند
bus,"['', 'بهشه', 'بهشهر']",بهشهر
ship,[''],بندر نوشهر
ship,"['', '', '']",بندر انزلی
bus,[''],تهران
flight,[''],کیش
bus,"['ق', 'قم']",قم
flight,"['', 'j', 'ji']",مهرآباد
bus,['گرگان'],گرگان
hotel,['شاهرود'],شاهرود
bus,"['', '']",تهران
bus,['تهران'],تهران
taxi,['تهران'],تهران
bus,['تهران'],تهران
flight,[''],مشهد
flight,"['س', 'سب', 'سبز']",سبزوار
train,[''],تهران
hotel,['رفسنجان'],رفسنجان
bus,['مشهد'],مشهد
train,"['', '', '']",یزد
bus,"['ق', 'قم']",قم
bus,['سنندج'],سنندج
taxi,['سنندج'],سنندج
hotel,['سنندج'],سنندج
bus,['ارا'],اراک
bus,"['کرمان', 'کرمانشاه']",کرمانشاه
hotel,['سمنان'],سمنان
flight,"['', 'ک', 'کی', 'کیش']",کیش
flight,[''],کرمانشاه
flight,"['', 'س', 'سا', 'سار', 'ساری']",ساری
flight,"['', 'ک', 'کی', 'کیش']",کیش
bus,['تهران'],تهران
bus,[''],بندرعباس
train,"['ک', 'کر']",کرمان
bus,[''],بوشهر
hotel,['اهواز'],اهواز
hotel,['کرمانشاه'],کرمانشاه
taxi,['قم'],قم
bus,['قم'],قم
hotel,['قم'],قم
train,[''],تهران
flight,[''],استانبول
flight,[''],اصفهان
flight,[''],مهرآباد
flight,[''],مشهد
taxi,"['ق', 'قم']",قم
flight,[''],مهرآباد
flight,"['', 'م', 'مش', 'مشه', 'مشهد']",مشهد
flight,"['', 'ک', 'کی', 'کیش']",کیش
bus,[''],شیراز
flight,"['', '', '']",شهید هاشمی نژاد
ship,[''],بندر امام خمینی
train,"['', '', '']",کرمان
taxi,['تهران'],تهران
flight,[''],تهران
ship,[''],کویت
flight,[''],مهرآباد
taxi,['تهران'],تهران
hotel,['قم'],قم
flight,[''],اصفهان
bus,[''],تهران
hotel,['بوشهر'],بوشهر
train,[''],تهران
bus,"['', 'زنج', 'زنجان']",زنجان
bus,"['ی', 'یز', 'یزد', 'یز', 'ی', '']",ابرکوه
train,[''],بندرعباس
train,"['', 'س', 'سا', 'سار', 'ساری']",ساری
hotel,['قم'],قم
bus,"['', '']",اصفهان
bus,['مشهد'],مشهد
bus,[''],اهواز
flight,[''],تهران
bus,[''],شیراز
bus,['مشهد'],مشهد
train,[''],تهران
bus,[''],شاهین شهر
train,[''],تهران
train,"['', 'ک', 'کد', 'ک', 'کر', 'کرج']",کرج
bus,[''],اهواز
bus,[''],اصفهان
bus,['تهران'],تهران
hotel,['تهران'],تهران
flight,"['', 'سنند', 'سنندج']",سنندج
train,"['', 'گ', 'گر', 'گرگ']",گرگان
ship,['بندر بوشهر'],بندر بوشهر
ship,['شارجه'],شارجه
bus,"['', 'ش', 'شی', 'شیر', 'شیرا', 'شیراز']",شیراز
bus,['اصفهان'],اصفهان
bus,['تهران'],تهران
flight,[''],تهران
flight,[''],چابهار
taxi,['تهران'],تهران
bus,['مشهد'],مشهد
bus,"['', '', 'ت', '', 'ن', 'نو']",نوشهر
flight,[''],اهواز
train,"['', 'س', 'سا', 'سار']",ساری
bus,"['', 'ک', 'کر', 'کرج']",کرج
bus,['مشهد'],مشهد
train,[''],مشهد
train,[''],تهران
bus,[''],تهران
bus,[''],اصفهان
train,"['', '', '', 'س', 'سا', 'سار', 'ساری']",ساری
bus,"['د', 'دز', 'دزف', 'دزفو', 'دزفول', '', 'د', 'دز', 'دزف', 'دزفو', 'دزفول', 'دزفو', 'دزف']",دزفول
train,"['', '', '', '']",تهران
bus,['مشهد'],مشهد
flight,"['', 'لند', 'لندن']",لندن
bus,[''],اصفهان
flight,"['', 'م', 'می', 'میش', 'می', 'م', '', 'ک', 'کی', 'کیش']",کیش
hotel,['تهران'],تهران
flight,[''],مشهد
flight,"['', 'ک', 'کی']",کیش
bus,"['ق', 'قم']",قم
flight,"['', 'ر', 'را']",رامسر
bus,[''],تهران
flight,['شهید بهشتی'],شهید بهشتی
flight,['شهید هاشمی نژاد'],شهید هاشمی نژاد
hotel,['اهواز'],اهواز
train,"['', 'کا', 'کاش', 'کاشا']",کاشان
bus,['اهواز'],اهواز
train,[''],یزد
bus,"['', 'ش', 'شی']",شیراز
hotel,['شیراز'],شیراز
bus,[''],اصفهان
bus,"['', 'ر', 'رش', '']",رشت
bus,"['', 'د', 'ده']",دهدشت
flight,"['', 'ش', 'شی']",شیراز
flight,[''],تهران
flight,"['', 'ک', 'کی', 'کیش', '']",مشهد
bus,['ساری'],ساری
taxi,['ساری'],ساری
flight,[''],تهران
train,[''],مشهد
train,[''],کرج
train,"['', 'گ', 'گر', 'گرگ', 'گرگا', 'گرگان']",گرگان
train,[''],تهران
bus,['اهواز'],اهواز
train,"['', 'م', 'مش', 'مشه', 'مشهد', 'مشه']",مشهد
train,[''],مشهد
train,[''],تهران
bus,"['', 'ق', 'قم']",قم
train,"['', '', '']",تهران
train,[''],کرج
flight,[''],اصفهان
hotel,['بهبهان'],بهبهان
bus,"['س', 'سم', 'سمن', 'سمنا', 'سمنان']",سمنان
bus,"['ب', 'بر', 'برو', 'بروج']",بروجرد
taxi,['رشت'],رشت
bus,"['', 'بندر', 'بندر ', 'بندر ان', 'بندر ا', 'بندر ', 'بندر']",بندر انزلی
bus,"['ا', 'ان']",اندیمشک
hotel,['رشت'],رشت
bus,['گرگان'],گرگان
taxi,['گرگان'],گرگان
hotel,['گرگان'],گرگان
flight,"['', 'ه']",تهران
bus,['تهران'],تهران
taxi,['تهران'],تهران
bus,['اهواز'],اهواز
bus,"['', 'رشت']",رشت
hotel,['اهواز'],اهواز
flight,"['', 'j', 'ji', 'jiv', 'jivh', 'jivhk']",تهران
flight,[''],بندرعباس
flight,"['', ';', ';v', ';vl', ';vlh', ';vlhk']",کرمان
flight,"['', 'ی', 'یا', 'یاس', 'یاسو', 'یاسوج']",یاسوج
train,"['ز', 'زن', 'زنج']",زنجان
hotel,['اهواز'],اهواز
bus,[''],دزفول
bus,['اهواز'],اهواز
train,[''],تهران
train,[''],مشهد
bus,[''],بندر انزلی
bus,['تهران'],تهران
bus,['یزد'],یزد
bus,"['', 'شاه', 'شاهرود', 'شاهرو', 'شاهر', 'شاه', 'شا', 'شاه', '', 'سمنا', 'سمنات', 'سمنا', 'سمنان', 'سمنا', 'سمن', 'سم', 'س', '', 'تهرا', 'تهران', 'تهرا', '', '', '', 'شاهرود', 'شاهر', '', 'سمنان', 'سمنا', '', '', '', 'تهرا']",تهران
hotel,['رشت'],رشت
flight,[''],تهران
bus,[''],اصفهان
taxi,['اصفهان'],اصفهان
bus,['مشهد'],مشهد
bus,['تهران'],تهران
taxi,['تهران'],تهران
flight,[''],تهران
bus,"['ت', 'ته']",تهران
flight,"['', 'l', 'la', 'lai', 'lain', 'م', 'مش', 'مشه', 'مشهد']",مشهد
train,[''],تهران
bus,"['س', 'سق', 'سقز']",سقز
flight,[''],دبی (همه فرودگاه‌ها)
flight,"['', 'بوس', 'بوشن', 'بوش', 'بوشه']",بوشهر
flight,"['', 'تهر']",تهران
bus,['رشت'],رشت
train,[''],تهران
taxi,['شهرکرد'],شهرکرد
bus,"['', 'ی', 'یا']",یاسوج
bus,"['', 'ی', 'یا', 'ی', '', '', '', 'ی', 'یا', 'ی', '', '', '']",شیراز
train,"['', 'ق', 'قم']",قم
bus,"['دز', 'دزف']",دزفول
bus,[''],شیراز
ship,['بندرلنگه'],بندر لنگه
ship,['دبی'],دبی
flight,[''],اصفهان
bus,[''],اهواز - همه پایانه‌ها
taxi,['تهران'],تهران
train,[''],یزد
bus,[''],اراک
train,[''],تهران
bus,"['', 'تهرا', 'تهران']",تهران
flight,"['ن', '', 'ک', 'کي', 'کيش']",کیش
flight,[''],شیراز
bus,['تهران'],تهران
bus,['قم'],قم
bus,['شیراز'],شیراز
bus,"['', 'ز', 'زا', 'زاھ', 'زا']",زاهدان
flight,[''],تهران
bus,"['', 'ا', 'اه']",اهواز - همه پایانه‌ها
flight,[''],شیراز
bus,"['', 'چ']",چابهار
flight,[''],تهران
flight,[''],زابل
train,[''],کرمان
train,[''],مشهد
bus,['اهواز'],اهواز
hotel,['اهواز'],اهواز
flight,[''],اهواز
flight,"['', '']",شیراز
flight,[''],شیراز
flight,[''],تهران
train,[''],مشهد
train,[''],کرمان
taxi,['قم'],قم
hotel,['قم'],قم
flight,"['', 'ت', 'ته']",تهران
train,"['', '', '']",مشهد
train,[''],شاهرود
flight,"['', 'ک', 'کذ', 'ک', 'کر']",کرمان
bus,[''],تهران
bus,['تهران'],تهران
flight,[''],چابهار
train,"['ر', 'رشت']",رشت
bus,['مشهد'],مشهد
train,"['س', 'سم']",سمنان
flight,"['', 'ک', 'کی', 'کیش']",کیش
flight,[''],اهواز
hotel,['شاهرود'],شاهرود
flight,"['', 'ب', 'بو']",بوشهر
bus,['مشهد'],مشهد
flight,"['m', 'ma', 'mar', 'mary', 'maryl', 'maryla', 'marylan', 'maryland', '', 'م', 'مر', 'مری', 'مری ', 'مری ل', 'مری لن', 'مری لند', '', 'ا', 'ام', 'امر', 'امری', 'امریک', 'امریکا', 'امریک', 'امری', 'امر', 'ام', 'ا', '', 'ا', 'ای', 'ایا', 'ایال', 'ایالا', 'ایالات', 'ایالات ', 'ایالات م', 'ایالات مت', 'ایالات متح', 'ایالات متحخ', 'ایالات متح', 'ایالات متحه', 'ایالات متح', 'ایالات متحد', 'ایالات متحده']",بلویل
bus,"['', 'نها']",نهاوند
bus,"['شاهرود', '', 'ش', '']",شاهرود
hotel,['زنجان'],زنجان
bus,['مشهد'],مشهد
bus,['تهران'],تهران
bus,['یزد'],یزد
flight,"['', 'و', 'وا', 'واش', 'واشن', 'واش', 'واشی', 'واشین']",واشینگتن
bus,['مشهد'],مشهد
train,"['', 'قم']",قم
bus,['مشهد'],مشهد
train,[''],مشهد
hotel,['بندرماهشهر'],بندرماهشهر
train,"['', 'سا']",ساوه
bus,[''],اصفهان
bus,['مشهد'],مشهد
flight,[''],اهواز
bus,[''],شیراز
bus,['قم'],قم
flight,"['ز', 'زا']",زاهدان
bus,['شاهرود'],تهران
bus,['ساری'],ساری
bus,['مشهد'],مشهد
bus,['مشهد'],مشهد
train,[''],شاهرود
bus,"['', 'ا', 'ازاد']",آزادشهر
flight,"['', 'چ']",چابهار
bus,['تهران'],تهران
bus,[''],یزد
flight,"['', '']",کیش
train,[''],تهران
flight,[''],رشت
flight,[''],تهران
bus,['گرگان'],گرگان
train,[''],تهران
train,['ارا'],اراک
bus,['د'],دشتستان
train,"['', '', '']",شاهرود
bus,['مشهد'],مشهد
bus,['یزد'],یزد
bus,"['', '', '']",شیراز
bus,[''],بندر انزلی
train,[''],تهران
bus,['ارا'],اراک
train,[''],تهران
hotel,['بجنورد'],بجنورد
flight,[''],مشهد
train,"['', '']",تهران
train,[''],بافق
train,[''],قم
flight,[''],شیراز
bus,['بندرعباس'],بندرعباس
bus,['مشهد'],مشهد
flight,"['ا', 'ای']",ایلام
hotel,['چالوس'],چالوس
flight,[''],تهران
train,"['', 'ساری']",ساری
train,[''],مشهد
bus,"['ت', 'ته']",تهران - همه پایانه‌ها
bus,"['فر', 'فرو']",فرودگاه امام خمینی
bus,['ایلام'],ایلام
hotel,['ایلام'],ایلام
flight,"['', '', '', '', '', 'ج', 'جی']",جیرفت
bus,"['قزو', 'قزوی', 'قزوین']",قزوین
bus,['ساری'],ساری
flight,"['', 'ت', 'تخ', 'ت', 'تخ', 'ت', 'ته']",تهران
flight,"['', 'ب', 'بن']",بندرعباس
bus,['رشت'],رشت
taxi,['ری'],ری
flight,"['', 'ر', 'را']",رامسر
bus,['تهران'],تهران
flight,"['', 'ب', 'بج']",بجنورد
hotel,['ساری'],ساری
bus,[''],جهرم
bus,"['', 'ش', 'شو', 'شوش', 'شوشتر', 'شوشت', 'شوش']",شوش
taxi,"['', 'رو']",رودسر
train,['ساری'],ساری
bus,[''],شیراز
hotel,['بندرعباس'],بندرعباس
bus,['بندرعباس'],بندرعباس
flight,"['ر', 'رش', 'رشت']",رشت
train,[''],ساری
train,[''],تهران
bus,"['', 'ته', 'تهر', 'تهرا', 'تهران']",تهران
bus,"['', 'قم']",قم
bus,"['ا', '']",اصفهان
bus,"['', 'خ', 'خو', 'خوی']",خوی
flight,[''],تهران
bus,['بندرعباس'],بندرعباس
hotel,['بندرعباس'],بندرعباس
bus,"['مح', 'محلل', 'محللت', 'محلل', 'محلات', 'محلات ', 'محلات', 'محلا', 'محل', 'مح', 'م', '', 'م', '', 'تهران']",تهران
taxi,"['', 'رش', 'رشت']",رشت
bus,"['ز', 'زن', 'زنج', 'زنجل', 'زنج']",زنجان
flight,[''],اهواز
train,[''],مشهد
bus,"['', 'اروم', 'ارومی', 'ارومیه']",ارومیه
train,[''],بندرعباس
flight,"['', '\u200c', '', 'ک', 'کر']",کرمان
train,"['', 'س', 'سب', 'سبز', '', '', 'س', 'سب', 'سبز', 'سبزو', 'سبزوا', 'سبزوار']",سبزوار
flight,[''],تهران
bus,"['', '', '', 'اهو', 'اهواز']",اهواز
flight,[''],تهران
ship,[''],بندر لنگه
bus,"['ا', 'ای', 'ایل', 'ایلا', 'ایلام']",ایلام
flight,"['', 'تبر', 'تبری']",شهید مدنی
train,[''],یزد
flight,"['', 'م', 'مش', 'مشه']",مشهد
flight,"['زاغ', 'زاغگ', 'زا']",زاهدان
bus,['قم'],قم
taxi,['قم'],قم
bus,['شاهرود'],شاهرود
hotel,['دزفول'],دزفول
bus,['رودسر'],رودسر
bus,['مشهد'],مشهد
bus,[''],تهران
bus,"['', 'ا', 'ای', 'ایل', 'ایلا', 'ایلام']",ایلام
bus,[''],سمنان
hotel,['رودسر'],رودسر
flight,"['ارب', 'اربی', 'اربیل']",اربیل
bus,[''],اصفهان
train,[''],بم
flight,['مهرآباد'],ایلام
flight,['شهدای ایلام'],تهران
bus,['مشهد'],مشهد
bus,[''],اصفهان
bus,"['گ', 'گل', 'گلپ', 'گلپا']",گلپایگان
bus,['مشهد'],مشهد
flight,"['ی', 'یز', 'یزد']",یزد
bus,[''],جیرفت
train,[''],بافق
bus,"['ب', 'با', 'باب']",بابل
flight,"['', 'ب', 'بو', 'بوش']",بوشهر
bus,"['', 'رشت']",رشت
bus,"['', 'کر', 'کرما', 'کرمان']",کرمان
bus,"['', 'آمل ', 'آمل']",آمل
bus,[''],مشهد
bus,"['', 'ت', 'تب', 'تبر', 'تبری', 'تبریز']",تبریز
flight,"['', 'ت', 'ته']",تهران
train,"['ت', 'ته']",تهران
flight,"['', '', '', 'ز', 'زا', 'زاه']",زاهدان
bus,['مشهد'],مشهد
train,[''],بافق
flight,"['If', 'Ifn']",اصفهان
bus,['تهران'],تهران
flight,"['Nu', 'Nue']",نورنبرگ
bus,"['', 'ت', 'ته']",تهران
bus,"['', 'ا', 'اص']",اصفهان
flight,"['', '']",نجف
bus,['تهران'],تهران
hotel,['زاهدان'],زاهدان
bus,['تهران'],تهران
bus,['مشهد'],مشهد
flight,"['', 'پ', 'پا', 'پار', 'پارس']",پارس آباد
bus,[''],قشم
bus,[''],تهران
train,[''],قزوین
flight,"['', 'ب', 'به', 'ب', 'بن', 'بند']",بندرعباس
train,[''],تهران
train,[''],تهران
bus,[''],تهران
flight,"['', 'ته', 'تهرا']",تهران
flight,[''],تهران
bus,[''],تهران
train,[''],تهران
train,"['تهران', 'تهرا', 'تهر', 'ته', 'ت', '']",مشهد
bus,['بابل'],بابل
train,[''],تهران
train,"['', '', '', 'ب', 'بن', 'بند']",بندرعباس
hotel,['سیرجان'],سیرجان
train,"['', 'س', 'سا', 'سار', 'ساری']",ساری
train,"['ک', 'کر']",کرمان
flight,[''],اصفهان
bus,['اصفهان'],اصفهان
flight,"['', 'ب', 'بن', 'بند', 'بندر']",بندرعباس
bus,['بندرعباس'],بندرعباس
bus,[''],بندرعباس
flight,"['', '', '']",تهران
flight,"['', 'z', 'za', 'z', '', 'ز', 'زا']",زاهدان
flight,[''],مشهد
bus,"['ل', 'لا', 'ل', '', 'ل', 'لا']",لار
taxi,['رشت'],رشت
hotel,['رشت'],رشت
bus,[''],رشت
bus,"['', 'ی', 'یز']",یزد
hotel,['سیرجان'],سیرجان
bus,[''],اصفهان
hotel,['تهران'],تهران
train,"['ک', 'کا', 'کاش']",کاشان
bus,[''],اصفهان
bus,['قم'],قم
taxi,['قم'],قم
hotel,['قم'],قم
flight,"['', 'ل', 'لن']",بندر لنگه
bus,"['', 'ب', 'به', 'بهب', 'بهبه', 'بهبها', 'بهبهان']",بهبهان
train,"['ی', 'یز', 'یزذ', 'یز']",یزد
bus,[''],شیراز
hotel,"['', '', 'ک', 'کر', 'کرم']",سیرجان
bus,[''],مشهد
train,[''],تهران
hotel,"['کرما', 'کرمان']",کرمان
train,"['', '']",قم
taxi,['قم'],قم
hotel,['میبد'],میبد
flight,"['ی', 'یز', 'یزد']",یزد
bus,"['ته', 'تهرات', 'تهرا', 'تهران']",تهران
hotel,['کرمان'],کرمان
flight,[''],تهران
bus,['زنجان'],زنجان
taxi,['زنجان'],زنجان
hotel,['زنجان'],زنجان
train,['شی'],شیراز
hotel,"['ب', 'بر', 'برو', 'بروج', 'بروجر', 'بروجرد']",بروجرد
ship,['بندرخرمشهر'],بندرخرمشهر
ship,['دبی'],دبی
taxi,['اراک'],اراک
hotel,['اراک'],اراک
hotel,['بندرعباس'],بندرعباس
flight,"['', 'ك']",کرمانشاه
train,"['', 'ب', 'بن', 'بند']",بندرعباس
taxi,['بابل'],بابل
hotel,['بابلسر'],بابلسر
bus,[''],خرم آباد
train,"['', 'ت', 'تب']",تبریز
bus,"['', 'ا', 'اس', 'اسل', 'اسلا']",اسلام آباد غرب
train,"['', '', '', '', '', 'ت', 'ته', 'تهر', 'تهرا', 'تهران', '', '']",تهران
flight,[''],تفلیس
flight,[''],مهرآباد
bus,['قم'],قم
bus,"['', '']",خرم آباد
bus,"['ا', 'ار', 'ارا']",اراک
bus,['مشهد'],مشهد
flight,[''],تهران
hotel,['قم'],قم
flight,"['اهوا', 'اهواز']",اهواز
bus,['تهران'],تهران
train,"['', 'ک', 'کر', 'کرم', 'کرما', 'کرمان']",کرمان
bus,[''],تهران
bus,"['', '']",اهواز
flight,"['', '']",تفلیس
flight,"['م', 'مش', 'مشش']",مار زنگی
flight,"['', 'مشهد']",مشهد
bus,"['', 'هش', 'هشتپ', 'هشتپر']",هشتپر
flight,"['', 'دبب', 'دب']",دبی
flight,"['چ', 'چا']",چابهار
bus,"['', 'ب']",بوشهر
hotel,['تهران'],تهران
flight,['دبی'],دبی
flight,"['ب', 'بن', 'بند']",بندرعباس
bus,[''],همدان
flight,"['', 'دو', 'دوح', 'دو', '']",مشهد
bus,"['', '', '']",تهران
bus,['مشهد'],مشهد
flight,[''],شیراز
flight,"['', '', '', 'مش', 'مشه', 'مشهد', 'مشهد ']",مشهد
hotel,[''],قشم
bus,"['', 'بوکان']",بوکان
taxi,"['', '']",تنکابن
flight,"['', 'دو', 'دوحه']",دوحه
taxi,"['اه', '', 'ته', 'تهر', 'تهرا', 'تهران', '', 'تهر', 'تهرا', 'تهران', '']",تهران
bus,"['ش', 'شه', 'شهر', 'شهرض']",شهرضا
bus,"['ش', 'شی', 'شیر', 'شیرا']",شیراز
bus,"['', 'ک', 'کر', 'کرم']",کرمانشاه
train,"['', 'س', 'سب', 'سبز']",سبزوار
train,"['ا', 'ار', 'ارا']",اراک
hotel,"['', 'ه', 'هت', 'هتل', 'هتل ', 'هتل ز', 'هتل زا', 'هتل زاگ', 'هتل زاگر', 'هتل زاگرس', 'هتل زاگرس ', 'هتل زاگرس ب', 'هتل زاگرس بر', 'هتل زاگرس برو', 'هتل زاگرس بروج', 'هتل زاگرس بروجر', 'هتل زاگرس بروجرد', 'هتل زاگرس بروجر', 'هتل زاگرس بروج', 'هتل زاگرس برو', 'هتل زاگرس بر', 'هتل زاگرس ب', 'هتل زاگرس ', 'هتل زاگرس', 'هتل زاگر', 'هتل زاگ', 'هتل زا', 'هتل ز', 'هتل ', '']",بروجرد
bus,[''],اصفهان
train,[''],بافق
ship,"['', '', '', 'بوشه', 'بوشهر']",بندر بوشهر
bus,[''],کرمان
bus,[''],اصفهان
bus,['مشهد'],مشهد
bus,"['ت', 'تن', 'تنک', 'تنکا', 'تنکاب', 'تنکابن', '', 'ت', 'تن', 'تنک', 'تنکا', 'تنکاب', 'تنکابن', 'تنکاب', 'تنکا', 'تنک', 'تن', 'ت', '', '', 'ت', 'ته', 'تهر', 'تهرا', 'تهر', 'ته', 'ت', 'تن', 'تنک', 'تنکا', 'تنکاب', 'تنکابن', '']",تهران
bus,"['ک', 'کر', 'کرج', 'کر', 'ک', '', 'ا', 'ال', 'الب', 'البر', 'البرز', 'البر', 'الب', 'ال', 'ا', '']",تهران
ship,[''],بندرخرمشهر
bus,"['ت', 'تن', 'تنک', 'تنکا', 'تنکاب']",تنکابن
ship,"['', 'دوح', 'دوحه', '', '']",شارجه
flight,[''],تهران
flight,[''],اصفهان
bus,[''],خوی
flight,[''],تبریز
bus,"['', 'د', 'دش']",دشتستان
flight,"['ا', 'ای', 'ایر', 'ایرا']",ایرانشهر
train,"['', 'قم', '', '', 'قم']",قم
hotel,[''],مشهد
bus,"['', '']",تهران
train,"['', 'کاشا']",کاشان
bus,"['کاشان', '', 'ولسا', 'ولسان', '', 'واش', 'واشا', 'واشان', 'کاشان', 'کاشان ', 'کاشان', '', 'کاش', 'کاشا', 'کاشان', 'کاشا', '', '', 'کا']",کاشان
train,"['ا', 'از', 'ازن', 'ازنا']",ازنا
bus,[''],رشت
flight,[''],مشهد
hotel,['بوشهر'],بوشهر
bus,['شیراز'],شیراز
bus,"['', '', '']",خوی
bus,"['', 'س', 'سب', 'سبز', 'سبزو', 'سبزوا', 'سبزوار']",سبزوار
bus,['قم'],قم
bus,"['ش', 'شی']",شیراز
hotel,['ایلام'],ایلام
hotel,['کاشان'],کاشان
train,"['', 'تهران']",تهران
bus,"['', 'ج', 'جه']",جهرم
train,"['مشهد', 'مشه', '', 'ق']",قم
bus,"['', 'ش', 'شب', 'ش', 'شی']",شیراز
flight,[''],شیراز
bus,['مشهد'],مشهد
train,"['ت', 'تب', 'تبر', 'تبری']",تبریز
flight,"['', '']",اهواز
hotel,['سبزوار'],سبزوار
flight,"['d', 'du', 'dub', 'duba', 'dubai']",دبی
train,"['', 'م', 'مل', 'ملا', 'ملای']",ملایر
taxi,['کاشان'],کاشان
hotel,['کاشان'],کاشان
hotel,['خوی'],خوی
train,['کرج'],کرج
train,['ساری'],ساری
bus,['بندرعباس'],بندرعباس
hotel,['بندرعباس'],بندرعباس
flight,[''],مشهد
bus,"['', '', '', '', 'ان', 'ا', '']",اهواز
bus,['مشهد'],مشهد
bus,"['', 'ا', 'ار', 'ارو', 'اروم', 'ارومی', 'ارومیه']",ارومیه
flight,"['', 'ر', 'رش']",رشت
taxi,['کاشان'],کاشان
train,[''],اصفهان
bus,"['', 'ب', 'به']",بهبهان
bus,[''],کرج
train,"['', 'محم']",محمدیه
bus,"['رو', 'روی']",رویان
flight,[''],اهواز
train,"['ا', 'ار']",اردکان
bus,['تهران'],تهران
taxi,['تهران'],تهران
bus,[''],شیراز
bus,"['', '']",کرج
bus,['مشهد'],مشهد
flight,"['', '', '', 'ب', 'بهر', 'بهرگ']",بهرگان
hotel,['تهران'],تهران
flight,[''],مشهد
bus,['شیراز'],شیراز
hotel,['ساری'],ساری
flight,"['', 'ت', 'ته', 'تهر', 'ته', 'ت', '', 'ب', 'بو']",بوشهر
bus,['ساری'],ساری
taxi,['ساری'],ساری
bus,"['اهواز', '']",اصفهان
bus,[''],کرج
bus,[''],تبریز
hotel,"['', 'ک', 'کر']",ساری
bus,['تهران'],تهران
train,"['شی', 'شیر', 'شیراز']",شیراز
flight,"['ش', 'شا']",شاهرود
bus,"['', 'ا', 'ای', 'ایذ', 'ایذه']",ایذه
bus,"['ته', 'تهرا']",تهران
taxi,['رودسر'],رودسر
hotel,['رودسر'],رودسر
hotel,['اهواز'],اهواز
flight,"['ت', 'ته', 'تهر', 'تهرا', 'تهران', '']",تهران
train,[''],تهران
train,"['ا', '', 'شهر', 'شهرض']",شهرضا
train,[''],تهران
flight,"['ب', 'بو', 'بوش', 'بوشه', 'بوشهر', '', 'ب', 'بو']",بوشهر
train,[''],مشهد
flight,[''],اصفهان
bus,['مشهد'],مشهد
flight,['مهرآباد'],مهرآباد
flight,['شهید هاشمی نژاد'],شهید هاشمی نژاد
bus,"['ش', 'شا', 'شاه', 'شاهر']",شاهرود
bus,"['', 'ا', 'ای', 'ایر', 'ایرا', 'ایران']",ایرانشهر
bus,"['ب', 'با', 'باب', 'بابل']",بابل
bus,['اصفهان'],اصفهان
bus,"['ح', '', 'ح', '', 'خ', 'خل']",خلخال
bus,['تبریز'],تبریز
hotel,['تبریز'],تبریز
flight,[''],اراک
flight,[''],رشت
flight,"['ق', 'قط', 'قطر']",دوحه
bus,[''],تهران
bus,['تهران'],تهران
taxi,['تهران'],تهران
flight,"['ل', 'لا', 'لام', 'لامر', 'لامرد']",لامرد
hotel,['یزد'],یزد
bus,['ق'],قم
train,"['', 'ک', 'کر', 'کرم', 'کرما', 'کرمان']",کرمان
train,['رشت'],رشت
flight,[''],زاهدان
bus,['م'],مهران
flight,[''],مشهد
flight,"['', 'ب', 'با', 'بان', 'بانک']",بانکوک
train,"['', 'ت', 'ته']",تهران
train,[''],سپیددشت
train,[''],اهواز
taxi,['رشت'],رشت
bus,['رشت'],رشت
hotel,['رشت'],رشت
taxi,['اصفهان'],اصفهان
flight,[''],مشهد
bus,['کرمان'],کرمان
hotel,['کرمان'],کرمان
bus,['بم'],بم
hotel,['بم'],بم
train,"['', 'ب', 'با', 'باف', 'بافق']",بافق
hotel,['تهران'],تهران
bus,"['الس', 'الشتر ', 'الشتر', '']",تهران
bus,"['', 'تبریز']",تبریز
bus,[''],بم
bus,['مشهد'],مشهد
bus,['الشت'],الشتر
flight,"['ك', 'كي', 'كيش', 'كي', 'ك', 'كر', 'كرم']",کرمانشاه
bus,['شیراز'],شیراز
flight,"['ك', 'كي', 'كيش']",کیش
flight,"['ه', '', 'ت', 'ته', 'تهر', 'تهرا', 'تهران']",تهران
bus,"['گ', 'گر']",گرگان
flight,"['ق', 'قش', 'قشم']",قشم
hotel,['تهران'],تهران
flight,"['', 'ت']",تبریز
flight,[''],رشت
flight,[''],تهران
taxi,['تهران'],تهران
flight,[''],تهران
bus,['تهران'],تهران
taxi,"['قن', 'ق', 'قم']",قم
bus,['تهران'],تهران
flight,"['خ', 'خر', 'خرم']",خرم‌آباد
taxi,[''],همدان
train,['اص'],اصفهان
flight,"['', 'آ', 'آب', 'آبا', 'آباد', 'آبادا']",آبادان
flight,"['س', 'ساری']",ساری
bus,"['ر', 'رف']",رفسنجان
bus,[''],تبریز
taxi,"['ش', 'شا', 'شاه', 'شاهی', 'شاهین', 'شاهی', 'شاه', 'شا', 'ش', '']",اصفهان
bus,[''],اصفهان
train,"['گ', '', 'گ', 'گر']",گرگان
